Longitude,Latitude,Start Year
-159.38,56.17,2005
-87.004,12.702,2004
139.526,34.094,2004
148.42,-5.525,2004
-77.656,-0.077,2004
-86.845,12.602,2004
-17.316,64.416,2004
145.037,-4.08,2004
129.714,29.638,2004
124.737,1.112,2004
116.47,-8.42,2004
-122.18,46.2,2004
168.346,-16.507,2004
160.642,56.056,2004
15.004,37.734,2004
138.523,36.406,2004
100.473,-0.381,2004
-71.93,-39.42,2004
-12.48,-37.42,2004
153.48,48.98,2004
-90.601,14.381,2004
-77.37,1.22,2004
-174.166,52.381,2004
122.455,-8.676,2004
37.75,-46.9,2004
101.264,-1.697,2004
112.95,-7.942,2004
123.685,13.257,2004
125.5,3.67,2004
-98.622,19.023,2004
127.63,1.488,2004
29.2,-1.408,2004
55.708,-21.244,2004
151.33,-5.05,2004
145.67,16.35,2004
125.4,2.78,2004
-86.845,12.602,2004
-175.07,-19.75,2004
157.95,-9.02,2004
130.308,30.789,2004
-62.18,16.72,2004
142.686,43.418,2004
-163.97,54.756,2004
-159.38,56.17,2004
168.37,-16.68,2004
15.004,37.734,2004
122.455,-8.676,2004
148.42,-5.525,2004
131.104,32.884,2004
160.595,55.972,2004
145.037,-4.08,2003
-86.161,11.984,2003
124.792,1.358,2003
-71.377,-36.863,2003
127.33,0.8,2003
-71.85,-15.78,2003
160.595,55.972,2003
109.92,-7.2,2003
131.104,32.884,2003
144.775,14.601,2003
122.833,-8.365,2003
-87.004,12.702,2003
73.513,-53.106,2003
168.346,-16.507,2003
-103.58,10.73,2003
55.708,-21.244,2003
122.775,-8.542,2003
-71.93,-39.42,2003
145.037,-4.08,2003
145.67,16.35,2003
-26.483,-57.8,2003
155.461,50.324,2003
-169.058,-14.215,2003
151.33,-5.05,2003
-177.188,-25.887,2003
-71.729,-38.692,2003
123.685,13.257,2003
15.004,37.734,2003
123.132,10.412,2003
130.308,30.789,2003
138.523,36.406,2003
160.595,55.972,2002
124.792,1.358,2002
123.132,10.412,2002
160.642,56.056,2002
55.708,-21.244,2002
107.73,-7.32,2002
-77.656,-0.077,2002
-177.188,-25.887,2002
145.037,-4.08,2002
15.004,37.734,2002
-67.73,-23.37,2002
-86.845,12.602,2002
-71.729,-38.692,2002
122.775,-8.542,2002
123.685,13.257,2002
-78.598,-0.171,2002
152.203,-4.271,2002
125.37,2.3,2002
-159.38,56.17,2002
151.33,-5.05,2002
140.303,30.484,2002
150.516,-5.576,2002
-144.017,62.006,2002
29.2,-1.408,2002
-174.166,52.381,2002
-26.483,-57.8,2002
114.056,-8.119,2002
-77.37,1.22,2002
-90.601,14.381,2002
-87.004,12.702,2002
148.42,-5.525,2002
-177.188,-25.887,2002
29.25,-1.52,2002
130.308,30.789,2002
165.8,-10.38,2002
-78.598,-0.171,2002
160.642,56.056,2002
168.37,-16.68,2002
124.792,1.358,2002
155.461,50.324,2002
29.25,-1.52,2002
-88.269,13.434,2002
145.037,-4.08,2002
55.708,-21.244,2002
-90.88,14.473,2002
