lat,lng,vlat,vlng,mag,atan2
-84,128,-0.923,-12.134,12.1690544,-3.065671611
-84,132,-0.073,-12.324,12.3242162,-3.135669321
-84,136,0.787,-12.453,12.47784348,3.078478965
-84,140,1.655,-12.522,12.63089502,3.010186878
-84,144,2.525,-12.529,12.78090239,2.942724024
-84,148,3.393,-12.476,12.92915407,2.876052879
-84,152,4.256,-12.362,13.07411871,2.810021893
-84,156,5.108,-12.187,13.21418302,2.744700061
-84,160,5.947,-11.953,13.35069354,2.679921393
-84,164,6.767,-11.661,13.48225538,2.615776598
-84,168,7.565,-11.313,13.60930542,2.552183868
-84,172,8.336,-10.909,13.72935457,2.489103383
-84,176,9.078,-10.452,13.84392964,2.426432063
-84,180,9.786,-9.944,13.95166413,2.364202428
-80,180,11.166,-9.944,14.95201297,2.298371762
-80,184,11.831,-9.387,15.10259349,2.241514665
-80,188,12.456,-8.785,15.24231482,2.185058865
-80,192,13.038,-8.14,15.37039505,2.128912897
-80,196,13.574,-7.455,15.48646186,2.073034137
-80,200,14.062,-6.734,15.59123472,2.01740502
-80,204,14.499,-5.981,15.68417553,1.962041484
-80,208,14.884,-5.198,15.76555296,1.906788646
-80,212,15.214,-4.389,15.83442822,1.851655056
-80,216,15.487,-3.56,15.89090208,1.796741446
-80,220,15.703,-2.713,15.93563861,1.741876989
-80,224,15.86,-1.853,15.96788054,1.687103831
-80,228,15.957,-0.984,15.98731075,1.632384067
-80,232,15.995,-0.11,15.99537824,1.577673367
-80,236,15.972,0.765,15.99030985,1.522936584
-80,240,15.89,1.636,15.9739975,1.46819999
-80,244,15.748,2.499,15.94504641,1.413421731
-80,248,15.546,3.349,15.90263868,1.358613799
-80,252,15.287,4.184,15.84923421,1.303642275
-80,256,14.972,4.998,15.78419425,1.248605014
-80,260,14.601,5.787,15.70600427,1.193446751
-80,264,14.177,6.549,15.61655308,1.138053123
-80,268,13.701,7.278,15.51408022,1.082499732
-80,272,13.177,7.972,15.4008478,1.026713187
-80,276,12.606,8.627,15.27535155,0.970646587
-80,280,11.991,9.241,15.1386975,0.914202568
-80,284,11.336,9.809,14.99070969,0.857488671
-80,288,10.644,10.329,14.83182312,0.800416345
-80,292,9.917,10.799,14.66169465,0.742848074
-80,296,9.16,11.217,14.48194355,0.684791831
-80,300,8.376,11.579,14.29092779,0.62624455
-80,304,7.569,11.886,14.09137172,0.567039457
-80,308,6.743,12.134,13.88171477,0.507217451
-80,312,5.902,12.324,13.66435436,0.446627976
-80,316,5.05,12.453,13.43799498,0.385260021
-80,320,4.191,12.521,13.20378438,0.322995943
-80,324,3.329,12.529,12.96372176,0.259703018
-80,328,2.469,12.476,12.7179612,0.195375485
-80,332,1.615,12.362,12.46704732,0.129906569
-80,336,0.771,12.187,12.21136397,0.063179934
-80,340,-0.059,11.953,11.95314561,-0.004935959
-80,344,-0.871,11.661,11.69348374,-0.074554978
-80,348,-1.661,11.313,11.43428572,-0.145780674
-80,352,-2.426,10.909,11.17549806,-0.218824236
-80,356,-3.16,10.452,10.91924466,-0.293597142
-80,0,-3.862,9.944,10.66762298,-0.370444743
-80,4,-4.526,9.387,10.42115373,-0.449270917
-80,8,-5.151,8.785,10.18376286,-0.530315092
-80,12,-5.733,8.14,9.956248741,-0.61360588
-80,16,-6.27,7.455,9.74114598,-0.699272945
-80,20,-6.758,6.734,9.540299786,-0.787176993
-80,24,-7.195,5.981,9.35630194,-0.877275977
-80,28,-7.579,5.198,9.190236395,-0.969635397
-80,32,-7.909,4.389,9.045197731,-1.064170301
-80,36,-8.183,3.56,8.92384945,-1.160445581
-80,40,-8.398,2.713,8.825348322,-1.258326332
-80,44,-8.555,1.853,8.753378433,-1.357492814
-80,48,-8.653,0.984,8.708769431,-1.457564962
-80,52,-8.69,0.11,8.690696175,-1.558138775
-80,56,-8.668,-0.765,8.701692307,-1.658823902
-80,60,-8.585,-1.636,8.739492033,-1.759103472
-80,64,-8.443,-2.499,8.805069562,-1.858565429
-80,68,-8.242,-3.349,8.896424282,-1.956750592
-80,72,-7.983,-4.184,9.012998669,-2.053548311
-80,76,-7.667,-4.998,9.152207002,-2.148495328
-80,80,-7.296,-5.787,9.312410268,-2.241361403
-80,84,-6.872,-6.549,9.492828082,-2.332132374
-80,88,-6.397,-7.278,9.689731317,-2.420529713
-80,92,-5.872,-7.972,9.901170032,-2.506737095
-80,96,-5.301,-8.627,10.125499,-2.590604083
-80,100,-4.687,-9.241,10.36166251,-2.672204679
-80,104,-4.032,-9.809,10.60535266,-2.751595938
-80,108,-3.339,-10.329,10.85528268,-2.828931169
-80,112,-2.612,-10.799,11.11039806,-2.904276258
-80,116,-1.855,-11.217,11.36934976,-2.977701983
-80,120,-1.071,-11.579,11.6284256,-3.049360049
-80,124,-0.264,-11.886,11.88893149,-3.1193853
-80,128,0.562,-12.134,12.14700786,3.095309593
-80,132,1.403,-12.324,12.40360371,3.028237765
-80,136,2.255,-12.453,12.65552188,2.96245297
-80,140,3.114,-12.522,12.90339025,2.897854545
-80,144,3.975,-12.529,13.1444462,2.834373582
